Gene Name	Young -Dox	Young +Dox	Sen -Dox	Sen +Dox
DFFB	59.56	65.65	45.77	40.11
DFFB	59.56	65.65	45.77	40.11
C1orf174	124.75	136.17	108.71	109.48
LOC100133612	0.8	4.05	5.09	5.42
LOC100133612	0.8	4.05	5.09	5.42
LOC728716	0.8	0	1.27	0
LOC284661	0.8	0	0	0
LOC284661	0.8	0	0	0
AJAP1	28.97	8.11	27.97	2.17
AJAP1	28.97	8.11	27.97	2.17
MIR4417	0	0	0	0
KCNAB2	123.14	103.75	115.07	110.56
KCNAB2	123.14	103.75	115.07	110.56
KCNAB2	195.58	151.57	183.73	114.9
CHD5	8.85	7.29	8.26	24.93
RPL22	1720.78	1571.58	1374.51	1403.68
ICMT	2257.62	2249.97	2298.9	2265.39
ICMT	2257.62	2249.97	2298.9	2265.39
ICMT	2257.62	2249.97	2298.9	2265.39
ICMT	2257.62	2249.97	2298.9	2265.39
HES3	0	0	0	0
GPR153	848.32	529.26	358.57	205.94
ACOT7	389.55	388.23	403.07	507.27
ACOT7	389.55	388.23	403.07	507.27
HES2	3.22	0	3.81	1.08
MIR4252	4.02	4.05	22.25	10.84
TNFRSF25	66	46.2	56.58	52.03
PLEKHG5	238.24	242.34	192	240.63
PLEKHG5	238.24	242.34	192	240.63
NOL9	284.11	245.58	246.67	301.33
TAS1R1	5.63	2.43	8.26	1.08
ZBTB48	168.21	144.27	116.98	122.48
ZBTB48	168.21	144.27	116.98	122.48
KLHL21	1633.05	1114.45	1450.17	1337.56
PHF13	512.69	624.9	437.4	505.11
DNAJC11	557.77	629.77	557.56	647.1
DNAJC11	557.77	629.77	557.56	647.1
CAMTA1	325.97	374.46	446.3	280.74
CAMTA1	325.97	374.46	446.3	280.74
CAMTA1	325.97	374.46	446.3	280.74
VAMP3	729.2	840.5	804.23	1192.31
PER3	99	81.86	91.55	80.21
PER3	99	81.86	91.55	80.21
TNFRSF9	11.27	14.59	8.26	16.26
PARK7	1421.38	1518.9	1361.79	1301.79
PARK7	1421.38	1518.9	1361.79	1301.79
PARK7	1421.38	1518.9	1361.79	1301.79
ERRFI1	120.73	245.58	117.62	177.76
ERRFI1	120.73	245.58	117.62	177.76
SLC45A1	66	68.08	54.04	32.52
RERE	1619.37	1313.03	1239.73	1135.95
RERE	1619.37	1313.03	1239.73	1135.95
RERE	1619.37	1313.03	1239.73	1135.95
ENO1	6622.36	7371.59	5616.93	7473.63
ENO1	6622.36	7371.59	5616.93	7473.63
CA6	3.22	3.24	3.81	1.08
SLC2A7	0.8	0	1.91	1.08
SLC2A5	12.07	15.4	12.72	8.67
GPR157	13.68	13.78	22.25	28.18
MIR34A	0	0.81	0.64	0
MIR34A	0	0.81	0.64	0
H6PD	2595.66	2934.04	2216.89	1451.37
SPSB1	410.48	389.86	285.46	234.13
SLC25A33	121.53	98.88	119.52	101.89
TMEM201	272.04	269.9	197.72	176.68
TMEM201	272.04	269.9	197.72	176.68
C1orf200	399.21	476.58	439.31	433.57
C1orf200	399.21	476.58	439.31	433.57
C1orf200	399.21	476.58	439.31	433.57
C1orf200	399.21	476.58	439.31	433.57
C1orf200	399.21	476.58	439.31	433.57
CTNNBIP1	295.38	322.58	232.69	329.51
LZIC	43.46	36.47	38.78	67.2
NMNAT1	99	137.79	149.4	165.84
RBP7	0.8	4.05	5.09	4.34
UBE4B	504.64	479.82	413.88	493.18
UBE4B	504.64	479.82	413.88	493.18
KIF1B	86.92	80.24	149.4	184.27
KIF1B	86.92	80.24	149.4	184.27
PGD	1365.84	1185.78	1282.32	1060.07
APITD1-CORT	68.41	68.89	68.03	87.8
CORT	85.31	94.83	82.65	100.8
APITD1-CORT	68.41	68.89	68.03	87.8
DFFA	321.94	333.12	320.42	324.09
PEX14	437.84	408.5	431.04	364.2
PEX14	437.84	408.5	431.04	364.2
CASZ1	20.93	11.35	80.11	35.77
CASZ1	20.93	11.35	80.11	35.77
C1orf127	3.22	4.05	1.27	5.42
TARDBP	356.55	430.38	370.65	453.08
MASP2	4.02	2.43	7.63	5.42
MASP2	4.02	2.43	7.63	5.42
SRM	1454.37	1451.62	1313.48	1295.28
EXOSC10	212.48	235.05	173.56	225.46
ANGPTL7	365.4	355.81	413.24	571.23
ANGPTL7	365.4	355.81	413.24	571.23
UBIAD1	222.14	218.03	193.27	221.12
UBIAD1	222.14	218.03	193.27	221.12
PTCHD2	0	0.81	50.86	3.25
PTCHD2	0	0.81	50.86	3.25
FBXO44	41.05	47.01	71.2	50.94
FBXO44	41.05	47.01	71.2	50.94
FBXO44	41.05	47.01	71.2	50.94
FBXO6	142.46	130.49	137.96	117.06
MAD2L2	386.33	463.61	314.7	228.71
DRAXIN	0.8	0.81	1.27	3.25
DRAXIN	0.8	0.81	1.27	3.25
AGTRAP	390.36	349.33	400.53	366.37
CLCN6	792.78	535.75	593.8	325.18
CLCN6	792.78	535.75	593.8	325.18
NPPA-AS1	428.99	216.41	335.68	194.02
NPPA	5.63	0.81	3.18	1.08
NPPB	0.8	0	0	0
KIAA2013	1149.33	1270.88	1081.43	1159.79
PLOD1	4112.01	5627.37	3874.95	7302.37
MFN2	1081.73	1318.7	1132.29	1439.45
MIIP	210.87	212.35	172.29	123.57
TNFRSF8	5.63	8.92	13.99	15.17
MIR4632	103.02	78.62	42.6	0
SNORA59A	169.02	206.68	467.92	306.75
SNORA59A	169.02	206.68	467.92	306.75
DHRS3	1476.11	2546.62	2482	1148.96
AADACL4	0.8	7.29	6.99	0
AADACL3	0	0	0	0
C1orf158	0.8	1.62	0.64	0
PRAMEF12	0	0	0	0
PRAMEF1	0	0	0	0
PRAMEF11	0	0	0.64	0
LOC649330	88.53	107.8	78.83	81.29
PRAMEF2	0	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	0	0	0	0
PRAMEF22	0	0	0	0
PRAMEF22	0	0	0	0
PRAMEF22	0	0	0	0
PRAMEF15	0	0	0	0
PRAMEF14	0	0	0	0
PRAMEF18	0	0	0	0
PRAMEF16	0	0	0	0
PRAMEF14	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF21	0	0	0	0
LRRC38	1.61	4.86	8.9	216.78
PDPN	45.88	135.36	204.71	448.74
PRDM2	103.83	154	118.89	138.74
PRDM2	80.49	125.63	89.64	124.65
KAZN	434.62	260.98	692.98	257.97
KAZN	434.62	260.98	692.98	257.97
KAZN	379.09	213.97	549.3	222.2
KAZN	379.09	213.97	549.3	222.2
TMEM51	52.32	88.35	217.43	26.01
FHAD1	4.02	8.11	15.89	6.5
FHAD1	4.02	8.11	15.89	6.5
FHAD1	4.02	8.11	15.89	6.5
EFHD2	771.05	711.63	606.51	379.37
CTRC	0	0.81	0.64	0
CELA2A	4.02	2.43	6.36	10.84
CELA2B	13.68	16.21	13.35	13.01
CASP9	94.97	111.85	114.44	108.39
DNAJC16	121.53	98.88	122.07	176.68
DNAJC16	121.53	98.88	122.07	176.68
AGMAT	14.49	14.59	17.17	11.92
RSC1A1	14.49	18.64	42.6	21.68
RSC1A1	14.49	18.64	42.6	21.68
RSC1A1	7.24	12.97	12.08	24.93
PLEKHM2	3225.06	2450.17	2808.78	1746.2
SLC25A34	23.34	11.35	14.62	8.67
SLC25A34	23.34	11.35	14.62	8.67
TMEM82	1.61	0	0	0
FBLIM1	1732.05	2329.4	1401.21	2024.76
UQCRHL	292.97	288.54	256.21	270.98
SPEN	61.17	55.93	68.03	56.36
FLJ37453	147.29	188.04	185.64	268.81
ZBTB17	345.28	386.61	293.72	241.71
C1orf64	0	0	0	0
HSPB7	287.33	235.86	255.57	2093.05
CLCNKA	3.22	0.81	3.18	6.5
CLCNKB	4.02	12.97	5.72	8.67
FAM131C	6.44	9.73	6.36	8.67
EPHA2	389.55	690.55	434.86	1172.8
ARHGEF19	76.46	83.48	65.48	46.61
RSG1	61.97	55.93	48.32	66.12
FBXO42	196.38	248.83	202.81	230.88
FBXO42	196.38	248.83	202.81	230.88
SZRD1	2689.02	2880.55	2204.17	2073.54
SZRD1	2689.02	2880.55	2204.17	2073.54
SZRD1	2689.02	2880.55	2204.17	2073.54
NECAP2	775.08	860.76	755.28	914.83
CROCCP3	22.54	28.37	35.6	27.1
NBPF1	222.95	298.27	290.54	321.92
NBPF1	222.95	298.27	290.54	321.92
NBPF1	222.95	298.27	290.54	321.92
CROCCP2	265.6	186.42	224.42	124.65
ESPNP	1.61	3.24	50.22	4.34
MST1L	10.46	14.59	14.62	3.25
CROCC	471.65	470.91	411.97	253.64
CROCC	471.65	470.91	411.97	253.64
CROCC	471.65	470.91	411.97	253.64
MFAP2	1188.77	1131.47	776.26	714.3
ATP13A2	305.85	408.5	304.53	479.09
ATP13A2	305.85	408.5	304.53	479.09
SDHB	351.72	307.18	310.89	427.06
PADI2	5.63	3.24	104.26	1818.82
PADI1	10.46	8.92	47.05	249.3
PADI1	10.46	8.92	47.05	249.3
PADI3	0	0.81	40.05	1.08
PADI4	1.61	0	3.18	1.08
PADI6	4.02	2.43	3.81	0
RCC2	1067.24	1108.78	890.7	1138.12
ARHGEF10L	519.94	346.9	813.14	343.6
ARHGEF10L	519.94	346.9	813.14	343.6
ARHGEF10L	519.94	346.9	813.14	343.6
ACTL8	7.24	0	3.18	2.17
IGSF21	4.83	3.24	164.66	2.17
IGSF21	4.83	3.24	164.66	2.17
KLHDC7A	0.8	0.81	0	1.08
PAX7	0.8	1.62	5.09	1.08
TAS1R2	0	0	1.27	1.08
ALDH4A1	313.89	204.25	274.65	217.87
IFFO2	328.38	378.51	364.93	621.09
UBR4	859.59	699.47	756.55	1210.74
UBR4	859.59	699.47	756.55	1210.74
UBR4	859.59	699.47	756.55	1210.74
EMC1	726.79	771.61	710.14	1085
MRTO4	365.4	358.25	297.53	323.01
AKR7L	16.9	20.26	14.62	9.76
AKR7L	16.9	20.26	14.62	9.76
AKR7A3	8.85	7.29	12.08	5.42
AKR7A2	728.39	694.61	645.93	422.73
PQLC2	383.92	311.24	366.2	241.71
CAPZB	3749.02	4004.73	3431.19	3946.55
CAPZB	3749.02	4004.73	3431.19	3946.55
RPS14P3	2093.43	1996.29	1752.15	1392.84
RPS14P3	2093.43	1996.29	1752.15	1392.84
HTR6	1.61	1.62	1.91	0
TMCO4	247.09	312.86	269.56	213.53
RNF186	0	0	0	0
OTUD3	39.44	34.04	37.51	131.15
PLA2G2E	0	0	0	0
PLA2G2A	0	0	0	0
PLA2G5	0.8	0.81	0.64	1.08
PLA2G2D	0	0	0	0
PLA2G2D	0	0	0	0
PLA2G2F	0	0	0.64	0
PLA2G2C	0	0	0	0
UBXN10	0	0	0	0
VWA5B1	0	0	2.54	1.08
LOC339505	0	0.81	1.27	0
LOC339505	0	0.81	1.27	0
CAMK2N1	3352.23	3681.33	3133.65	2005.25
CAMK2N1	3352.23	3681.33	3133.65	2005.25
MUL1	543.28	624.9	563.92	638.43
FAM43B	3.22	6.48	5.72	110.56
CDA	28.17	17.83	37.51	152.83
CDA	28.17	17.83	37.51	152.83
PINK1	1752.98	1859.31	2031.25	3837.08
DDOST	2895.07	3324.71	3124.12	2690.29
KIF17	81.29	94.83	96	92.13
KIF17	81.29	94.83	96	92.13
SH2D5	317.11	121.58	237.14	79.13
HP1BP3	563.4	662.19	514.33	895.32
HP1BP3	563.4	662.19	514.33	895.32
EIF4G3	40.24	40.53	146.22	97.55
ECE1	3589.66	4451.32	3222.02	2830.12
ECE1	3589.66	4451.32	3222.02	2830.12
ECE1	3589.66	4451.32	3222.02	2830.12
NBPF3	257.55	257.74	251.12	133.32
NBPF3	257.55	257.74	251.12	133.32
NBPF3	257.55	257.74	251.12	133.32
NBPF3	257.55	257.74	251.12	133.32
NBPF3	257.55	257.74	251.12	133.32
NBPF3	257.55	257.74	251.12	133.32
NBPF3	257.55	257.74	251.12	133.32
NBPF3	257.55	257.74	251.12	133.32
NBPF3	257.55	257.74	251.12	133.32
ALPL	189.95	448.21	189.46	15.17
RAP1GAP	2.41	12.16	134.15	10.84
USP48	63.58	87.54	92.82	134.41
LDLRAD2	1780.34	1157.41	1046.46	2619.84
LDLRAD2	1780.34	1157.41	1046.46	2619.84
CELA3B	0	0	0	0
CELA3A	0	0	0	1.08
LINC00339	202.02	188.85	184.37	101.89
CDC42	911.1	1037.45	916.13	1478.47
WNT4	4.02	2.43	10.17	8.67
ZBTB40	222.95	218.03	223.79	188.6
ZBTB40	222.95	218.03	223.79	188.6
EPHA8	2.41	0	5.72	0
C1QA	0	0	0	0
C1QC	0	0	0	0
C1QB	0.8	0	0.64	0
MIR4253	257.55	306.37	232.05	82.38
MIR4253	257.55	306.37	232.05	82.38
MIR4253	257.55	306.37	232.05	82.38
LOC729059	0	0.81	0	1.08
MIR3115	419.33	493.6	365.56	483.43
LUZP1	300.21	327.45	265.75	585.32
HTR1D	0	0	0	22.76
HNRNPR	301.02	398.77	282.91	460.67
ZNF436	150.51	162.1	109.99	141.99
ZNF436	150.51	162.1	109.99	141.99
TCEA3	255.94	208.3	175.47	86.71
TCEA3	255.94	208.3	175.47	86.71
ASAP3	675.27	633.01	563.28	239.55
ASAP3	675.27	633.01	563.28	239.55
ASAP3	675.27	633.01	563.28	239.55
ASAP3	675.27	633.01	563.28	239.55
E2F2	42.66	63.22	31.15	4.34
E2F2	42.66	63.22	31.15	4.34
ID3	168.21	408.5	383.36	1721.27
ID3	168.21	408.5	383.36	1721.27
MDS2	0	0	0.64	0
RPL11	6482.31	5727.87	4954.47	3641.97
TCEB3	283.31	368.78	306.44	521.37
TCEB3	283.31	368.78	306.44	521.37
PITHD1	322.75	367.97	331.23	391.3
LYPLA2	330.8	415.79	366.83	301.33
GALE	177.87	175.88	202.17	197.27
HMGCL	275.26	298.27	321.69	358.78
FUCA1	158.56	186.42	272.74	298.08
FUCA1	158.56	186.42	272.74	298.08
CNR2	57.14	42.96	42.6	43.36
PNRC2	27.37	62.41	32.42	72.62
PNRC2	27.37	62.41	32.42	72.62
MYOM3	1.61	1.62	1.91	5.42
IL22RA1	0	2.43	0	1.08
IL22RA1	0	2.43	0	1.08
IFNLR1	0.8	0.81	1.91	0
GRHL3	6.44	5.67	6.99	8.67
STPG1	91.75	112.66	82.65	121.4
NIPAL3	561.79	821.05	858.91	1930.46
NIPAL3	561.79	821.05	858.91	1930.46
RCAN3	30.58	53.49	37.51	71.54
RCAN3	30.58	53.49	37.51	71.54
NCMAP	15.29	12.16	27.34	3.25
SRRM1	428.99	450.64	409.43	487.76
CLIC4	1002.05	1525.38	1070.62	4601.24
RUNX3	33	15.4	13.35	4.34
RUNX3	33	15.4	13.35	4.34
RUNX3	33	15.4	13.35	4.34
SYF2	151.31	152.38	132.24	181.01
C1orf63	59.56	54.3	53.4	68.29
RHD	59.56	82.67	80.74	96.47
RHD	59.56	82.67	80.74	96.47
TMEM50A	598.01	678.4	663.1	1053.57
TMEM50A	598.01	678.4	663.1	1053.57
TMEM50A	598.01	678.4	663.1	1053.57
TMEM57	54.73	79.43	61.03	166.92
LDLRAP1	405.65	460.37	487.63	453.08
LDLRAP1	405.65	460.37	487.63	453.08
MAN1C1	246.29	321.77	394.81	65.04
MAN1C1	246.29	321.77	394.81	65.04
SEPN1	4146.62	3823.98	3300.22	1921.79
LOC646471	568.23	628.14	555.65	660.11
LOC646471	568.23	628.14	555.65	660.11
AUNIP	8.05	17.02	6.99	16.26
PAQR7	425.77	517.92	483.18	621.09
STMN1	668.03	800.78	527.68	725.14
STMN1	668.03	800.78	527.68	725.14
PAFAH2	118.31	139.41	146.86	211.36
EXTL1	24.15	60.79	48.95	720.81
SLC30A2	0	0	0.64	4.34
TRIM63	22.54	4.05	10.81	4.34
PDIK1L	3.22	2.43	6.36	11.92
FAM110D	0.8	0	0.64	0
ZNF593	226.97	228.56	193.91	184.27
CNKSR1	12.88	7.29	12.08	3.25
CATSPER4	0	0	1.27	0
CEP85	112.68	101.31	90.91	79.13
CEP85	112.68	101.31	90.91	79.13
SH3BGRL3	5863.38	5981.56	4552.67	5473.8
UBXN11	187.53	138.6	127.79	93.22
UBXN11	187.53	138.6	127.79	93.22
UBXN11	0.8	0.81	0	1.08
AIM1L	4.83	15.4	11.44	11.92
AIM1L	4.83	15.4	11.44	11.92
ZNF683	0	0	1.27	0
LIN28A	0	0.81	1.27	1.08
DHDDS	420.13	406.07	457.11	545.21
DHDDS	420.13	406.07	457.11	545.21
HMGN2	717.13	840.5	678.35	427.06
MIR1976	20.93	29.18	60.4	16.26
ARID1A	765.42	686.5	637.67	712.14
ARID1A	765.42	686.5	637.67	712.14
PIGV	148.9	193.71	173.56	190.77
ZDHHC18	430.6	494.41	411.34	353.36
SFN	0	1.62	6.99	1.08
GPN2	241.46	269.9	214.89	234.13
GPATCH3	239.85	206.68	182.46	173.43
GPATCH3	239.85	206.68	182.46	173.43
NR0B2	0	0	0.64	0
NUDC	894.2	969.37	812.5	740.32
C1orf172	0	0	1.91	1.08
TRNP1	2825.85	3939.89	2310.35	753.32
FAM46B	41.85	46.2	45.77	6.5
SLC9A1	1479.33	1289.52	1106.86	1522.91
SLC9A1	1479.33	1289.52	1106.86	1522.91
WDTC1	1353.77	1197.93	1087.78	1179.31
WDTC1	1353.77	1197.93	1087.78	1179.31
LOC644961	717.13	795.92	589.98	834.62
LOC644961	717.13	795.92	589.98	834.62
SYTL1	4.02	4.05	51.5	2.17
SYTL1	4.02	4.05	51.5	2.17
MAP3K6	629.4	431.19	516.24	261.22
FCN3	7.24	5.67	0.64	2.17
CD164L2	0	0	0	0
GPR3	20.12	35.66	15.89	8.67
WASF2	1885.78	1840.67	1485.77	1494.73
WASF2	1885.78	1840.67	1485.77	1494.73
AHDC1	923.97	970.99	705.06	720.81
FGR	1.61	2.43	5.72	1.08
IFI6	1171.87	1253.86	2551.3	1193.4
FAM76A	91.75	86.72	82.65	91.05
STX12	214.9	323.39	255.57	498.6
SCARNA1	237.43	278	252.4	302.41
THEMIS2	16.9	17.02	15.89	9.76
RPA2	288.14	316.1	313.43	336.02
SMPDL3B	0	1.62	8.26	3.25
XKR8	132	149.13	136.69	108.39
EYA3	86.12	104.56	138.6	122.48
PTAFR	4.02	11.35	4.45	3.25
DNAJC8	476.47	495.22	444.4	540.88
DNAJC8	476.47	495.22	444.4	540.88
ATPIF1	400.01	524.4	476.18	496.44
SESN2	631.81	618.42	495.89	901.82
MED18	210.87	195.33	163.39	176.68
PHACTR4	177.07	219.65	198.36	277.48
RCC1	735.64	633.82	2877.44	460.67
RCC1	530.4	475.77	358.57	338.18
RCC1	530.4	475.77	358.57	338.18
TRNAU1AP	142.46	159.67	165.93	121.4
TRNAU1AP	142.46	159.67	165.93	121.4
TRNAU1AP	142.46	159.67	165.93	121.4
RAB42	32.19	20.26	19.07	1.08
TAF12	158.56	213.97	164.03	179.93
GMEB1	76.46	95.64	92.18	85.63
YTHDF2	292.16	353.38	325.51	447.66
OPRD1	3.22	4.86	3.18	5.42
EPB41	1296.62	1482.42	1211.76	850.88
EPB41	1296.62	1482.42	1211.76	850.88
EPB41	1296.62	1482.42	1211.76	850.88
SRSF4	806.47	858.33	765.45	703.46
MECR	177.87	180.74	159.58	150.66
PTPRU	2868.51	2600.93	2298.27	676.37
MATN1-AS1	24.15	25.94	21.62	5.42
MATN1-AS1	24.15	25.94	21.62	5.42
MATN1-AS1	24.15	25.94	21.62	5.42
MIR4420	12.07	13.78	6.36	6.5
SDC3	4478.22	4784.44	3373.97	2569.97
SNORD85	339.65	344.47	356.02	524.62
SNORD85	339.65	344.47	356.02	524.62
SNORD85	339.65	344.47	356.02	524.62
NKAIN1	9.66	10.54	14.62	14.09
SNRNP40	247.09	281.25	258.12	186.43
SNRNP40	247.09	281.25	258.12	186.43
ZCCHC17	208.46	229.37	239.68	313.25
FABP3	1018.14	95.64	666.91	102.97
SERINC2	1954.19	1852.01	1460.97	1197.73
SERINC2	1954.19	1852.01	1460.97	1197.73
LOC149086	0	0	0	0
LOC149086	0	0	0	0
LOC284551	0	0	1.27	0
TINAGL1	243.87	345.28	241.59	379.37
HCRTR1	0	0	0.64	1.08
PEF1	635.84	650.03	647.84	668.78
PEF1	635.84	650.03	647.84	668.78
COL16A1	5308.83	4634.49	3283.06	4089.63
MIR4254	890.17	1015.57	836.66	575.56
MIR4254	890.17	1015.57	836.66	575.56
SPOCD1	644.69	718.11	551.2	540.88
SPOCD1	644.69	718.11	551.2	540.88
PTP4A2	948.12	1114.45	911.68	1339.73
PTP4A2	948.12	1114.45	911.68	1339.73
KHDRBS1	651.93	769.98	563.92	639.51
TMEM39B	216.51	292.59	214.89	161.5
KPNA6	702.64	839.69	765.45	1203.15
TXLNA	1800.46	1854.45	1728.63	1570.6
CCDC28B	94.97	124.82	96	70.45
IQCC	32.19	34.85	30.52	13.01
DCDC2B	24.15	22.69	20.98	13.01
TMEM234	109.46	115.09	123.34	132.24
TMEM234	109.46	115.09	123.34	132.24
TMEM234	109.46	115.09	123.34	132.24
MTMR9LP	342.06	188.85	233.32	96.47
FAM167B	274.46	233.43	311.52	108.39
LCK	4.02	3.24	3.18	9.76
HDAC1	842.68	928.03	726.67	541.96
MARCKSL1	1162.21	928.03	865.27	560.39
FAM229A	8.85	6.48	8.9	5.42
TSSK3	10.46	7.29	13.35	7.59
BSDC1	699.42	824.29	673.27	1067.66
BSDC1	699.42	824.29	673.27	1067.66
ZBTB8B	4.02	4.86	1.27	2.17
ZBTB8A	62.78	61.6	55.31	75.87
ZBTB8A	62.78	61.6	55.31	75.87
ZBTB8A	62.78	61.6	55.31	75.87
ZBTB8OS	61.97	38.09	56.58	84.55
RBBP4	444.28	495.22	453.3	659.02
RBBP4	444.28	495.22	453.3	659.02
KIAA1522	560.18	600.59	480	283.99
S100PBP	1352.16	1437.84	1166.62	1452.45
S100PBP	1352.16	1437.84	1166.62	1452.45
